x/H y/H N U/Uc V/Uc W/Uc
2.44E-02 2.73E+00 788 8.21E-01 -3.88E-03 -1.91E-02
2.44E-02 2.75E+00 686 8.12E-01 -2.19E-03 -1.93E-02
2.44E-02 2.78E+00 764 7.91E-01 -3.08E-03 -1.53E-02
2.44E-02 2.80E+00 739 7.76E-01 -4.13E-03 -1.77E-02
2.44E-02 2.82E+00 736 7.61E-01 -4.14E-03 -1.54E-02
2.44E-02 2.85E+00 738 7.41E-01 2.59E-03 -1.76E-02
2.44E-02 2.87E+00 734 7.03E-01 -2.98E-03 -2.18E-02
2.44E-02 2.90E+00 710 6.61E-01 -8.47E-04 -1.39E-02
2.44E-02 2.92E+00 721 5.68E-01 -8.94E-04 -1.74E-02
2.44E-02 2.95E+00 689 3.76E-01 -1.16E-03 -1.39E-02
2.44E-02 2.96E+00 195 2.21E-01 -7.13E-04 -9.13E-03

x/H y/H N U/Uc V/Uc W/Uc
1.00E+00 1.70E-02 3 3.92E-03 2.90E-03 -1.36E-02
1.00E+00 4.13E-02 128 7.06E-03 -2.31E-04 -1.15E-03
1.00E+00 6.09E-02 207 7.43E-03 1.24E-03 -2.15E-03
1.00E+00 8.49E-02 208 6.71E-03 3.79E-04 -1.18E-02
1.00E+00 1.12E-01 254 3.71E-03 -4.11E-03 -1.36E-03
1.00E+00 1.34E-01 205 -8.32E-03 -1.11E-03 -2.25E-02
1.00E+00 1.60E-01 203 -1.38E-02 6.31E-03 -1.33E-02
1.00E+00 1.83E-01 277 -1.05E-02 2.40E-03 -1.48E-02
1.00E+00 2.07E-01 299 -1.60E-02 3.46E-03 -2.67E-02
1.00E+00 2.33E-01 277 -1.01E-02 8.01E-03 -2.35E-02
1.00E+00 2.56E-01 298 -2.45E-02 6.01E-03 -2.36E-02
1.00E+00 2.81E-01 286 -1.33E-02 1.16E-02 -2.02E-02
1.00E+00 3.05E-01 304 -2.14E-02 1.76E-02 -2.22E-02
1.00E+00 3.31E-01 309 -2.67E-02 1.67E-02 -1.76E-02
1.00E+00 3.55E-01 397 -2.43E-02 1.25E-02 -1.30E-02
1.00E+00 3.78E-01 307 -2.97E-02 1.74E-02 -1.53E-02
1.00E+00 4.04E-01 350 -4.07E-02 2.40E-02 -2.09E-02
1.00E+00 4.29E-01 455 -3.80E-02 2.38E-02 -1.58E-02
1.00E+00 4.52E-01 424 -3.94E-02 2.64E-02 -1.82E-02
1.00E+00 4.76E-01 426 -4.11E-02 2.66E-02 -1.93E-02
1.00E+00 5.02E-01 379 -3.83E-02 3.19E-02 -1.55E-02
1.00E+00 5.25E-01 389 -5.09E-02 3.31E-02 -1.64E-02
1.00E+00 5.50E-01 376 -5.42E-02 4.00E-02 -2.13E-02
1.00E+00 5.75E-01 450 -4.56E-02 3.68E-02 -1.75E-02
1.00E+00 5.99E-01 417 -5.25E-02 3.69E-02 -1.86E-02
1.00E+00 6.23E-01 422 -5.07E-02 3.84E-02 -1.72E-02
1.00E+00 6.48E-01 453 -5.14E-02 3.99E-02 -7.98E-03
1.00E+00 6.73E-01 400 -4.69E-02 4.51E-02 -1.12E-02
1.00E+00 6.97E-01 434 -4.91E-02 4.01E-02 -1.21E-02
1.00E+00 7.21E-01 414 -4.25E-02 4.40E-02 -7.31E-03
1.00E+00 7.46E-01 417 -4.55E-02 4.90E-02 -1.15E-02
1.00E+00 7.70E-01 406 -3.83E-02 4.62E-02 -2.14E-02
1.00E+00 7.95E-01 463 -2.16E-02 4.15E-02 -2.18E-02
1.00E+00 8.19E-01 418 -1.81E-02 3.78E-02 -2.50E-02
1.00E+00 8.44E-01 397 6.00E-03 3.04E-02 -1.35E-02
1.00E+00 8.68E-01 502 4.23E-02 1.19E-02 -2.03E-02
1.00E+00 8.92E-01 462 7.90E-02 2.24E-02 -1.82E-02
1.00E+00 9.17E-01 427 1.20E-01 6.67E-03 -1.78E-02
1.00E+00 9.42E-01 394 1.83E-01 -3.20E-03 -1.62E-02
1.00E+00 9.66E-01 437 2.60E-01 -1.79E-02 -1.49E-02
1.00E+00 9.91E-01 461 3.24E-01 -1.15E-02 -2.57E-02
1.00E+00 1.01E+00 544 4.20E-01 -2.39E-02 -1.75E-02
1.00E+00 1.04E+00 526 5.20E-01 -2.56E-02 -1.43E-02
1.00E+00 1.06E+00 609 6.14E-01 -3.51E-02 -1.39E-02
1.00E+00 1.09E+00 750 6.71E-01 -2.77E-02 -1.80E-02
1.00E+00 1.11E+00 805 7.13E-01 -1.96E-02 -1.54E-02
1.00E+00 1.14E+00 935 7.48E-01 -1.41E-02 -1.62E-02
1.00E+00 1.16E+00 958 7.70E-01 -1.52E-02 -1.42E-02
1.00E+00 1.19E+00 1000 7.93E-01 -1.15E-02 -1.78E-02
1.00E+00 1.21E+00 1009 8.10E-01 -7.55E-03 -2.08E-02
1.00E+00 1.24E+00 1001 8.22E-01 -8.75E-03 -1.77E-02
1.00E+00 1.26E+00 976 8.31E-01 -5.44E-03 -1.77E-02
1.00E+00 1.28E+00 951 8.49E-01 -8.37E-03 -1.92E-02
1.00E+00 1.31E+00 1039 8.57E-01 -8.57E-03 -1.63E-02
1.00E+00 1.33E+00 1063 8.68E-01 -1.00E-02 -1.56E-02
1.00E+00 1.36E+00 1009 8.75E-01 -9.43E-03 -1.48E-02
1.00E+00 1.38E+00 1010 8.82E-01 -9.51E-03 -1.72E-02
1.00E+00 1.41E+00 980 8.94E-01 -7.93E-03 -1.47E-02
1.00E+00 1.43E+00 1018 9.00E-01 -7.52E-03 -1.51E-02
1.00E+00 1.45E+00 1012 9.07E-01 -8.88E-03 -1.45E-02
1.00E+00 1.48E+00 978 9.11E-01 -5.82E-03 -1.95E-02
1.00E+00 1.50E+00 1028 9.23E-01 -8.31E-03 -1.47E-02
1.00E+00 1.53E+00 1022 9.28E-01 -7.16E-03 -1.35E-02
1.00E+00 1.55E+00 965 9.39E-01 -9.80E-03 -1.38E-02
1.00E+00 1.58E+00 933 9.41E-01 -6.44E-03 -1.45E-02
1.00E+00 1.60E+00 938 9.49E-01 -5.20E-03 -1.77E-02
1.00E+00 1.63E+00 968 9.54E-01 -7.71E-03 -1.91E-02
1.00E+00 1.65E+00 873 9.58E-01 -7.38E-03 -1.62E-02
1.00E+00 1.67E+00 941 9.62E-01 -8.51E-03 -1.82E-02
1.00E+00 1.70E+00 982 9.70E-01 -6.48E-03 -1.57E-02
1.00E+00 1.72E+00 968 9.70E-01 -6.94E-03 -2.01E-02
1.00E+00 1.75E+00 934 9.78E-01 -6.91E-03 -2.06E-02
1.00E+00 1.77E+00 891 9.82E-01 -5.28E-03 -2.09E-02
1.00E+00 1.80E+00 870 9.87E-01 -8.93E-03 -1.75E-02
1.00E+00 1.82E+00 897 9.90E-01 -1.12E-02 -1.67E-02
1.00E+00 1.85E+00 853 9.92E-01 -8.48E-03 -1.90E-02
1.00E+00 1.87E+00 916 9.92E-01 -8.62E-03 -2.03E-02
1.00E+00 1.89E+00 894 9.98E-01 -8.86E-03 -1.80E-02
1.00E+00 1.92E+00 858 9.98E-01 -9.17E-03 -2.06E-02
1.00E+00 1.94E+00 845 1.00E+00 -5.42E-03 -2.03E-02
1.00E+00 1.97E+00 809 9.98E-01 -8.70E-03 -1.83E-02
1.00E+00 1.99E+00 838 9.96E-01 -4.97E-03 -1.99E-02
1.00E+00 2.02E+00 756 9.97E-01 -8.56E-03 -1.84E-02
1.00E+00 2.04E+00 777 9.99E-01 -6.03E-03 -1.94E-02
1.00E+00 2.07E+00 785 9.95E-01 -6.80E-03 -2.12E-02
1.00E+00 2.09E+00 768 9.94E-01 -6.21E-03 -1.99E-02
1.00E+00 2.11E+00 814 9.89E-01 -6.57E-03 -1.95E-02
1.00E+00 2.14E+00 842 9.88E-01 -5.60E-03 -2.00E-02
1.00E+00 2.16E+00 789 9.84E-01 -5.06E-03 -1.83E-02
1.00E+00 2.19E+00 762 9.79E-01 -9.91E-03 -1.79E-02
1.00E+00 2.21E+00 797 9.76E-01 -5.36E-03 -1.77E-02
1.00E+00 2.24E+00 672 9.69E-01 -7.56E-03 -2.14E-02
1.00E+00 2.26E+00 747 9.63E-01 -7.35E-03 -1.71E-02
1.00E+00 2.29E+00 646 9.58E-01 -6.02E-03 -1.94E-02
1.00E+00 2.31E+00 623 9.57E-01 -2.80E-03 -2.10E-02
1.00E+00 2.33E+00 609 9.47E-01 -6.42E-03 -1.91E-02
1.00E+00 2.36E+00 603 9.40E-01 -7.96E-03 -1.73E-02
1.00E+00 2.38E+00 485 9.38E-01 -6.05E-03 -2.06E-02
1.00E+00 2.41E+00 494 9.29E-01 -4.40E-03 -1.79E-02
1.00E+00 2.43E+00 480 9.21E-01 -2.47E-03 -2.02E-02
1.00E+00 2.46E+00 391 9.15E-01 -3.08E-03 -1.56E-02
1.00E+00 2.48E+00 349 9.06E-01 -3.34E-03 -2.00E-02
1.00E+00 2.51E+00 270 8.93E-01 -9.33E-03 -2.03E-02
1.00E+00 2.53E+00 240 8.99E-01 -4.48E-03 -1.80E-02
1.00E+00 2.55E+00 261 8.86E-01 -8.88E-03 -1.79E-02
1.00E+00 2.58E+00 265 8.92E-01 -5.12E-03 -1.66E-02
1.00E+00 2.60E+00 323 8.83E-01 -3.49E-03 -2.24E-02
1.00E+00 2.63E+00 348 8.80E-01 -1.35E-03 -2.17E-02
1.00E+00 2.65E+00 384 8.58E-01 -7.25E-03 -2.20E-02
1.00E+00 2.68E+00 521 8.48E-01 -2.61E-03 -1.74E-02
1.00E+00 2.70E+00 570 8.38E-01 -6.80E-03 -1.73E-02
1.00E+00 2.73E+00 576 8.33E-01 -6.55E-04 -1.94E-02
1.00E+00 2.75E+00 630 8.10E-01 1.02E-03 -1.77E-02
1.00E+00 2.77E+00 671 7.96E-01 -2.61E-03 -2.35E-02
1.00E+00 2.80E+00 614 7.79E-01 -3.57E-03 -2.39E-02
1.00E+00 2.82E+00 597 7.62E-01 -4.41E-03 -2.70E-02
1.00E+00 2.85E+00 570 7.46E-01 -3.82E-03 -2.08E-02
1.00E+00 2.87E+00 445 7.32E-01 -2.08E-03 -1.59E-02
1.00E+00 2.90E+00 340 7.16E-01 8.94E-04 -3.20E-02
1.00E+00 2.92E+00 155 6.45E-01 2.94E-03 -1.69E-02
1.00E+00 2.95E+00 254 2.68E-01 -3.56E-03 -1.28E-02
1.00E+00 2.96E+00 100 1.99E-01 -1.66E-03 -5.83E-03

x/H y/H N U/Uc V/Uc W/Uc
2.02E+00 2.12E-02 25 -2.08E-03 3.10E-03 -7.32E-03
2.02E+00 3.73E-02 230 -6.63E-03 9.43E-04 -8.14E-03
2.02E+00 6.16E-02 209 -2.33E-02 -6.31E-04 -2.46E-03
2.02E+00 8.61E-02 232 -4.88E-02 1.02E-02 -2.64E-03
2.02E+00 1.10E-01 242 -8.27E-02 1.13E-02 1.98E-03
2.02E+00 1.34E-01 231 -9.90E-02 2.30E-02 -1.77E-02
2.02E+00 1.59E-01 227 -9.95E-02 2.29E-02 -1.62E-02
2.02E+00 1.83E-01 205 -9.83E-02 2.52E-02 -2.61E-02
2.02E+00 2.08E-01 242 -9.93E-02 2.77E-02 -1.93E-02
2.02E+00 2.32E-01 238 -1.01E-01 2.94E-02 -1.39E-02
2.02E+00 2.57E-01 219 -1.11E-01 3.39E-02 -2.01E-02
2.02E+00 2.80E-01 226 -1.10E-01 3.89E-02 -2.52E-02
2.02E+00 3.06E-01 244 -1.28E-01 4.67E-02 -2.11E-02
2.02E+00 3.30E-01 224 -1.27E-01 4.54E-02 -2.62E-02
2.02E+00 3.55E-01 214 -1.22E-01 4.62E-02 -1.49E-02
2.02E+00 3.79E-01 240 -1.13E-01 4.93E-02 -2.08E-02
2.02E+00 4.03E-01 211 -9.73E-02 4.55E-02 -3.06E-02
